rfc_id,discussion_title,discussion_result_comment_id,discussion_input_comment,project
0,RfC about use of YouTube video as primary source for lead,0,1,wikipedia
1,[[Scriptural texts]] ([[WP:RSPSCRIPTURE]]),26,27,wikipedia
2,RfC on article scope,116,117,wikipedia
3,Request for comment on first sentence of lead,126,127,wikipedia
4,"RfC about naming ""Soldier F"" in the Bloody Sunday (1972) article",169,170,wikipedia
5,RfC for last sentence in lead,238,239,wikipedia
6,Proposed split of modern history,266,267,wikipedia
7,"RfC: was she Queen of Poland, ""King"" of Poland or King of Poland?",327,328,wikipedia
8,RfC about oxygen providing energy,389,390,wikipedia
9,Request for comment: Infobox Photo,399,400,wikipedia
10,Request for Comment for the defintion of 'Skyscraper',414,415,wikipedia
11,RfC about Lede sentence on columns rejecting the scientific consensus on climate change,449,450,wikipedia
12,RfC,489,490,wikipedia
13,Inline link RfC,490,491,wikipedia
14,RfC,496,497,wikipedia
15,Request for comment,508,509,wikipedia
16,RfC about content removal,512,513,wikipedia
17,"Request for comment: ""slaves"" vs. ""enslaved people""",514,515,wikipedia
18,Discussion,579,580,wikipedia
19,"Request for Comment: Nicholas II, a ""Good Administrator""?",585,586,wikipedia
20,To split or not to split (a decision),636,637,wikipedia
21,Request for Comment: Should the Article Include a Paragraph on the Order of Primus Saint Croix?,648,649,wikipedia
22,"RfC # 2, Section: Palestine",660,661,wikipedia
23,Request for comment,669,670,wikipedia
24,RfC: The Federalist Society's use of the PR firm CRC,676,677,wikipedia
25,Request for comments,692,693,wikipedia
26,RFC,793,794,wikipedia
27,Proposal to create a separate entry for the Family Computer (Famicom),801,802,wikipedia
28,Content inclusion criteria,824,825,wikipedia
29,Laundry symbols and GINETEX (moved from Roxy's Talk page),852,853,wikipedia
30,RfC about how Amedeo Modigliani is introduced,864,865,wikipedia
31,"RfC about PBS's status, not just as a US TV network, but as a major US TV network",890,891,wikipedia
32,Contradiction of Big Bird's gender in Lede and Infobox,900,901,wikipedia
33,Merger proposal,905,906,wikipedia
34,RFC: Should the article have an infobox?,926,927,wikipedia
35,RfC on including/excluding the full list of kings,1110,1111,wikipedia
36,RfC best resolution of title and content,1208,1209,wikipedia
37,Inline link RfC,1217,1218,wikipedia
38,Request for Comment - Can the adjective secular be applied to the Kingdom of Jerusalem?,1221,1222,wikipedia
39,[[WP:EASTEREGG]]: clarity sought on a particular situation,1239,1240,wikipedia
40,RfC: Terrorist war cry,1259,1260,wikipedia
41,RfC about Walter Parazaider allegedly leaving Chicago,1275,1276,wikipedia
42,Rfc: Meyer-Moran paper from 2007 in lead section,1278,1279,wikipedia
43,RfC about Effects of Whisky,1291,1292,wikipedia
44,RFC on chess term,1330,1331,wikipedia
45,Request for comment,1338,1339,wikipedia
46,"RfC for quotes inclusion in ""Cause and time of death"" subsection",1358,1359,wikipedia
47,RfC about First Nations land acknowledgement,1390,1391,wikipedia
48,RfC: Should P1 and P2 be repealed as CSDs?,1412,1413,wikipedia
49,RfC: quackery and literal snake oil,1435,1436,wikipedia
50,RfC: Academic Influence,1473,1474,wikipedia
51,"Request for comment (should ""British"" or place of birth be in the lead sentence?)",1484,1485,wikipedia
52,RfC about the modern Aramean identity,1540,1541,wikipedia
53,RfC: Description of the recording artist for this album,1553,1554,wikipedia
54,Political position,1575,1576,wikipedia
55,RFC:  Add Instruction Not to Move,1604,1605,wikipedia
56,"RFC on returning the 50s, 60s, 70s and 80s portions to be based on Top 40 placement",1710,1711,wikipedia
57,Casualties (revisited),1717,1718,wikipedia
58,RfC about the description of the governance of this university,1743,1744,wikipedia
59,RFC on whether to change the end date of this article to 1930,1769,1770,wikipedia
60,RfC: should templates and template categories roll up into related content categories,1792,1793,wikipedia
61,RfC regarding Wrecking Crew misconception,1820,1821,wikipedia
62,"RfC: Iranian Revolution ""supported by the United States""",1844,1845,wikipedia
63,RfC on templates storing data,1856,1857,wikipedia
64,RfC: Alkan and Masarnau,1940,1941,wikipedia
65,RfC on illustration,1958,1959,wikipedia
66,Request for comment: should [[acromegaly]] be included in the article?,1971,1972,wikipedia
67,"RFC, 24 September 2022",1992,1993,wikipedia
68,"RfC: ""RWB"" or ""RSF"" initialisms in article body",2020,2021,wikipedia
